iter	Passed	Remaining
0	155	155525
1	157	78580
2	159	52930
3	161	40164
4	163	32629
5	165	27465
6	197	28086
7	199	24766
8	201	22180
9	211	20986
10	213	19183
11	215	17713
12	243	18510
13	245	17321
14	247	16275
15	249	15369
16	252	14611
17	255	13915
18	258	13355
19	260	12769
20	262	12221
21	263	11716
22	265	11256
23	267	10888
24	269	10523
25	272	10191
26	275	9935
27	277	9626
28	278	9338
29	283	9179
30	286	8964
31	288	8731
32	290	8515
33	292	8302
34	293	8100
35	299	8028
36	301	7855
37	303	7681
38	305	7517
39	306	7355
40	307	7201
41	316	7213
42	318	7085
43	319	6946
44	321	6813
45	322	6687
46	323	6565
47	326	6485
48	329	6386
49	330	6288
50	333	6197
51	334	6102
52	336	6005
53	337	5913
54	341	5872
55	343	5797
56	345	5721
57	347	5642
58	349	5571
59	350	5498
60	355	5474
61	357	5414
62	360	5361
63	362	5296
64	363	5230
65	365	5166
66	366	5106
67	371	5096
68	374	5053
69	376	4997
70	377	4942
71	379	4890
72	381	4839
73	385	4828
74	389	4804
75	391	4762
76	393	4713
77	394	4664
78	395	4616
79	397	4569
80	399	4527
81	400	4482
82	401	4433
83	402	4393
84	404	4359
85	407	4325
86	412	4328
87	415	4303
88	417	4271
89	419	4242
90	421	4212
91	432	4272
92	434	4239
93	436	4203
94	437	4167
95	439	4135
96	444	4133
97	445	4104
98	447	4072
99	448	4039
100	450	4009
101	451	3978
102	453	3947
103	454	3916
104	457	3901
105	459	3875
106	461	3851
107	464	3833
108	465	3806
109	467	3781
110	472	3783
111	474	3758
112	475	3732
113	477	3710
114	478	3684
115	480	3659
116	481	3631
117	482	3608
118	486	3603
119	488	3581
120	490	3563
121	491	3538
122	493	3521
123	495	3498
124	496	3476
125	497	3454
126	503	3459
127	506	3450
128	508	3432
129	510	3414
130	513	3406
131	518	3409
132	519	3389
133	521	3370
134	523	3353
135	525	3337
136	527	3320
137	533	3329
138	534	3310
139	537	3303
140	539	3285
141	540	3263
142	547	3278
143	549	3264
144	550	3247
145	552	3230
146	554	3215
147	559	3222
148	566	3235
149	570	3230
150	571	3215
151	578	3229
152	580	3215
153	582	3201
154	585	3189
155	587	3178
156	589	3164
157	594	3165
158	596	3152
159	597	3137
160	598	3118
161	600	3104
162	601	3090
163	603	3076
164	607	3074
165	609	3061
166	610	3046
167	612	3032
168	614	3020
169	616	3009
170	618	2998
171	622	2996
172	624	2983
173	625	2970
174	630	2973
175	632	2961
176	640	2976
177	642	2967
178	644	2957
179	646	2945
180	648	2935
181	650	2924
182	652	2915
183	655	2909
184	657	2897
185	659	2884
186	660	2873
187	665	2872
188	668	2867
189	670	2859
190	672	2848
191	673	2835
192	675	2824
193	680	2827
194	683	2821
195	685	2813
196	687	2802
197	689	2791
198	693	2792
199	695	2783
200	697	2774
201	699	2763
202	701	2752
203	702	2741
204	704	2730
205	714	2754
206	716	2743
207	717	2733
208	719	2722
209	723	2723
210	726	2718
211	729	2710
212	731	2701
213	732	2691
214	734	2680
215	738	2681
216	741	2675
217	743	2666
218	744	2656
219	746	2646
220	747	2636
221	750	2629
222	752	2621
223	755	2617
224	757	2610
225	759	2601
226	761	2592
227	762	2582
228	765	2576
229	767	2569
230	772	2571
231	774	2562
232	777	2560
233	783	2564
234	785	2556
235	811	2628
236	813	2619
237	817	2616
238	819	2609
239	821	2601
240	825	2599
241	827	2591
242	829	2583
243	831	2576
244	834	2570
245	838	2570
246	840	2562
247	841	2553
248	853	2572
249	856	2569
250	858	2561
251	859	2552
252	861	2543
253	863	2534
254	864	2526
255	867	2521
256	871	2519
257	873	2513
258	875	2505
259	877	2496
260	879	2490
261	884	2492
262	886	2484
263	888	2476
264	890	2468
265	893	2466
266	895	2458
267	897	2450
268	899	2444
269	901	2437
270	903	2430
271	904	2422
272	909	2421
273	911	2415
274	913	2407
275	914	2400
276	918	2397
277	926	2406
278	928	2399
279	930	2391
280	932	2386
281	934	2379
282	938	2377
283	940	2371
284	942	2364
285	944	2358
286	946	2352
287	949	2346
288	953	2345
289	955	2338
290	956	2331
291	960	2328
292	962	2322
293	964	2315
294	966	2309
295	968	2304
296	970	2297
297	975	2297
298	977	2291
299	979	2285
300	981	2280
301	983	2273
302	985	2267
303	990	2266
304	992	2261
305	1014	2301
306	1016	2294
307	1018	2288
308	1023	2287
309	1025	2281
310	1028	2279
311	1030	2272
312	1031	2265
